Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,12528,IPv4,2026-03-13T09:11:27Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 51999
}","{
 ""IP"": """",
 ""Port"": 0
}",,14332,IPv4,2026-03-13T09:16:28Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 53400
}","{
 ""IP"": """",
 ""Port"": 0
}",,1492,IPv4,2026-03-13T08:51:36Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 53734
}","{
 ""IP"": """",
 ""Port"": 0
}",,15960,IPv4,2026-03-13T09:14:12Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 53737
}","{
 ""IP"": """",
 ""Port"": 0
}",,15960,IPv4,2026-03-13T09:16:02Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 61855
}","{
 ""IP"": """",
 ""Port"": 0
}",,1492,IPv4,2026-03-13T08:51:36Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 62143
}","{
 ""IP"": """",
 ""Port"": 0
}",,15960,IPv4,2026-03-13T09:14:29Z,UDP
0,23,2,"{
 ""IP"": ""::1"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,17840,IPv6,2026-03-13T07:35:43Z,UDP
0,23,2,"{
 ""IP"": ""fe80::531d:863e:ae98:20a9"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,17840,IPv6,2026-03-13T07:35:43Z,UDP
0,23,2,"{
 ""IP"": ""fe80::7631:4629:c1cd:857d"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,17840,IPv6,2026-03-13T07:35:43Z,UDP
0,23,2,"{
 ""IP"": ""fe80::dcd2:5ee8:daf7:d4d7"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,17840,IPv6,2026-03-13T07:35:43Z,UDP
0,23,2,"{
 ""IP"": ""fe80::ec54:3067:146b:9cd9"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,17840,IPv6,2026-03-13T07:35:43Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,15960,IPv6,2026-03-13T03:38:36Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,12528,IPv6,2026-03-13T09:11:27Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,15960,IPv6,2026-03-13T03:38:36Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,15528,IPv6,2026-03-13T07:35:57Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,12528,IPv6,2026-03-13T09:11:27Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,15528,IPv6,2026-03-13T07:35:57Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1492,IPv6,2026-03-13T07:35:45Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,15528,IPv6,2026-03-13T07:35:57Z,UDP
0,23,2,"{
 ""IP"": ""::"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,15528,IPv6,2026-03-13T07:35:57Z,UDP
